公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
国家农业信贷担保联盟有限责任公司,国家农担联盟,500-2000人,不需要融资,海淀区,数据分析实习生,不限,本科,3k-5k,大厂实习；技术大牛多；海量数据；免费三餐,金融,开发|测试|运维类,[],数据开发,北京
中科易研（北京）科技股份公司,e调研,50-150人,不需要融资,西城区,数据分析实习生,在校/应届,本科,2k-4k,"学习空间大,公司氛围好,发展前景好","移动互联网,数据服务",开发|测试|运维类,"['带薪年假', '年度旅游', '扁平管理', '领导好']",数据开发,北京
西安募格网络科技有限公司,西安募格网络科技有限公司,50-150人,天使轮,雁塔区,数据分析实习生,在校/应届,本科,2k-3k,发挥空间大 有助职业发展 学习机会多,企业服务,开发|测试|运维类,[],数据开发,西安
蔚星科技有限公司,蔚星科技,150-500人,不需要融资,朝阳区,数据分析实习生,不限,本科,3k-4k,弹性公众，有转正机会,移动互联网,运营|编辑|客服类,"['带薪年假', '定期体检', '弹性工作', '领导好']",运营,北京
深圳道道网络科技有限公司,道道,50-150人,C轮,南山区,数据分析师/数据研究员（实习）,在校/应届,本科,3k-6k,可转正 牛人团队 弹性工作 阳光环境,数据服务,开发|测试|运维类,"['平等的氛围', '年底双薪', '带薪年假', '定期体检']",数据开发,深圳
北京数美时代科技有限公司,数美,150-500人,C轮,朝阳区,数据分析实习生,在校/应届,本科,3k-5k,风控独角兽、飞速发展、待遇给力,"企业服务,数据服务",产品|需求|项目类,"['年底双薪', '大数据', '带薪年假', '通讯津贴']",产品经理,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,游戏数据分析实习生,在校/应届,本科,3k-5k,"下午茶,带薪休假,扁平管理,免费三餐",文娱丨内容,运营|编辑|客服类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",运营,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,数据分析实习生,不限,本科,2k-3k,"免费三餐,租房补贴,下午茶,扁平管理",文娱丨内容,运营|编辑|客服类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",运营,北京
北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,海淀区,【实习】滴滴出行自动驾驶测试数据分析,不限,不限,3k-6k,转正机会，top无人驾驶团队,汽车丨出行,开发|测试|运维类,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",数据开发,北京
杭州云表汇通科技有限公司,云表汇通,15-50人,A轮,江干区,数据分析师实习生,在校/应届,不限,3k-6k,　五险一金、假日旅游、半年调薪,"数据服务,人工智能",产品|需求|项目类,[],数据分析,杭州
